lrm,lrm_timestamp,timestamp_ms,time_utc
0.4137931034482759,1771787126555,1771787126555,2026-02-22 19:05:26.555000+00:00
0.4051724137931034,1771787263756,1771787263756,2026-02-22 19:07:43.756000+00:00
0.396551724137931,1771787397324,1771787397324,2026-02-22 19:09:57.324000+00:00
0.3879310344827587,1771787532376,1771787532376,2026-02-22 19:12:12.376000+00:00
0.3793103448275862,1771787667129,1771787667129,2026-02-22 19:14:27.129000+00:00
0.3706896551724138,1771787801339,1771787801339,2026-02-22 19:16:41.339000+00:00
0.3620689655172413,1771787934974,1771787934974,2026-02-22 19:18:54.974000+00:00
0.353448275862069,1771788067964,1771788067964,2026-02-22 19:21:07.964000+00:00
0.3448275862068966,1771788204470,1771788204470,2026-02-22 19:23:24.470000+00:00
0.3362068965517241,1771788339623,1771788339623,2026-02-22 19:25:39.623000+00:00
0.3275862068965517,1771788472775,1771788472775,2026-02-22 19:27:52.775000+00:00
0.3189655172413793,1771788607506,1771788607506,2026-02-22 19:30:07.506000+00:00
0.3103448275862069,1771788741813,1771788741813,2026-02-22 19:32:21.813000+00:00
0.3017241379310345,1771788876983,1771788876983,2026-02-22 19:34:36.983000+00:00
0.2931034482758621,1771789010488,1771789010488,2026-02-22 19:36:50.488000+00:00
0.2844827586206896,1771789141796,1771789141796,2026-02-22 19:39:01.796000+00:00
0.2758620689655172,1771789274770,1771789274770,2026-02-22 19:41:14.770000+00:00
0.2672413793103449,1771789408482,1771789408482,2026-02-22 19:43:28.482000+00:00
0.2586206896551724,1771789541813,1771789541813,2026-02-22 19:45:41.813000+00:00
0.25,1771789674712,1771789674712,2026-02-22 19:47:54.712000+00:00
0.2413793103448276,1771789807898,1771789807898,2026-02-22 19:50:07.898000+00:00
0.2327586206896551,1771789940608,1771789940608,2026-02-22 19:52:20.608000+00:00
0.2241379310344828,1771790076108,1771790076108,2026-02-22 19:54:36.108000+00:00
0.2155172413793104,1771790210458,1771790210458,2026-02-22 19:56:50.458000+00:00
0.2068965517241379,1771790342981,1771790342981,2026-02-22 19:59:02.981000+00:00
0.1982758620689655,1771790477740,1771790477740,2026-02-22 20:01:17.740000+00:00
0.1896551724137931,1771790611970,1771790611970,2026-02-22 20:03:31.970000+00:00
0.1810344827586207,1771790745409,1771790745409,2026-02-22 20:05:45.409000+00:00
0.1724137931034483,1771790879178,1771790879178,2026-02-22 20:07:59.178000+00:00
0.1637931034482759,1771791013953,1771791013953,2026-02-22 20:10:13.953000+00:00
0.1551724137931034,1771791147200,1771791147200,2026-02-22 20:12:27.200000+00:00
0.146551724137931,1771791282256,1771791282256,2026-02-22 20:14:42.256000+00:00
0.1379310344827587,1771791416760,1771791416760,2026-02-22 20:16:56.760000+00:00
0.1293103448275862,1771791550200,1771791550200,2026-02-22 20:19:10.200000+00:00
0.1206896551724138,1771791682871,1771791682871,2026-02-22 20:21:22.871000+00:00
0.1120689655172413,1771791817348,1771791817348,2026-02-22 20:23:37.348000+00:00
0.103448275862069,1771791949997,1771791949997,2026-02-22 20:25:49.997000+00:00
0.0948275862068965,1771792084580,1771792084580,2026-02-22 20:28:04.580000+00:00
0.086206896551724,1771792218768,1771792218768,2026-02-22 20:30:18.768000+00:00
0.0775862068965517,1771792351020,1771792351020,2026-02-22 20:32:31.020000+00:00
0.0689655172413793,1771792485046,1771792485046,2026-02-22 20:34:45.046000+00:00
0.0603448275862068,1771792619251,1771792619251,2026-02-22 20:36:59.251000+00:00
0.0517241379310344,1771792748546,1771792748546,2026-02-22 20:39:08.546000+00:00
0.0431034482758621,1771792882439,1771792882439,2026-02-22 20:41:22.439000+00:00
0.0344827586206896,1771793015687,1771793015687,2026-02-22 20:43:35.687000+00:00
0.0258620689655172,1771793146839,1771793146839,2026-02-22 20:45:46.839000+00:00
0.0172413793103448,1771793278973,1771793278973,2026-02-22 20:47:58.973000+00:00
0.0086206896551723,1771793411580,1771793411580,2026-02-22 20:50:11.580000+00:00
