reward,reward_timestamp,timestamp_ms,time_utc
0.078125,1771789274600,1771789274600,2026-02-22 19:41:14.600000+00:00
0.03125,1771789408312,1771789408312,2026-02-22 19:43:28.312000+00:00
0.0546875,1771789541644,1771789541644,2026-02-22 19:45:41.644000+00:00
0.02734375,1771789674542,1771789674542,2026-02-22 19:47:54.542000+00:00
0.03515625,1771789807728,1771789807728,2026-02-22 19:50:07.728000+00:00
0.03125,1771789940439,1771789940439,2026-02-22 19:52:20.439000+00:00
0.04296875,1771790075936,1771790075936,2026-02-22 19:54:35.936000+00:00
0.046875,1771790210286,1771790210286,2026-02-22 19:56:50.286000+00:00
0.0390625,1771790342810,1771790342810,2026-02-22 19:59:02.810000+00:00
0.04296875,1771790477570,1771790477570,2026-02-22 20:01:17.570000+00:00
0.05078125,1771790611798,1771790611798,2026-02-22 20:03:31.798000+00:00
0.05078125,1771790745238,1771790745238,2026-02-22 20:05:45.238000+00:00
0.05859375,1771790879010,1771790879010,2026-02-22 20:07:59.010000+00:00
0.05078125,1771791013781,1771791013781,2026-02-22 20:10:13.781000+00:00
0.04296875,1771791147031,1771791147031,2026-02-22 20:12:27.031000+00:00
0.03515625,1771791282086,1771791282086,2026-02-22 20:14:42.086000+00:00
0.05078125,1771791416591,1771791416591,2026-02-22 20:16:56.591000+00:00
0.05859375,1771791550031,1771791550031,2026-02-22 20:19:10.031000+00:00
0.02734375,1771791682701,1771791682701,2026-02-22 20:21:22.701000+00:00
0.0546875,1771791817179,1771791817179,2026-02-22 20:23:37.179000+00:00
0.05078125,1771791949822,1771791949822,2026-02-22 20:25:49.822000+00:00
0.0390625,1771792084411,1771792084411,2026-02-22 20:28:04.411000+00:00
0.046875,1771792218579,1771792218579,2026-02-22 20:30:18.579000+00:00
0.06640625,1771792350850,1771792350850,2026-02-22 20:32:30.850000+00:00
0.0546875,1771792484874,1771792484874,2026-02-22 20:34:44.874000+00:00
0.04296875,1771792619082,1771792619082,2026-02-22 20:36:59.082000+00:00
0.0625,1771792748375,1771792748375,2026-02-22 20:39:08.375000+00:00
0.05078125,1771792882269,1771792882269,2026-02-22 20:41:22.269000+00:00
0.05859375,1771793015517,1771793015517,2026-02-22 20:43:35.517000+00:00
0.0234375,1771793146669,1771793146669,2026-02-22 20:45:46.669000+00:00
0.03515625,1771793278804,1771793278804,2026-02-22 20:47:58.804000+00:00
0.06640625,1771793411411,1771793411411,2026-02-22 20:50:11.411000+00:00
