train/loss,train/loss_timestamp,timestamp_ms,time_utc
10.39806461334229,1770799672008,1770799672008,2026-02-11 08:47:52.008000+00:00
4.333580381865763,1770801414588,1770801414588,2026-02-11 09:16:54.588000+00:00
3.549396893312754,1770803156199,1770803156199,2026-02-11 09:45:56.199000+00:00
3.319373047836556,1770804987237,1770804987237,2026-02-11 10:16:27.237000+00:00
3.217226033679871,1770806728865,1770806728865,2026-02-11 10:45:28.865000+00:00
3.125900000619698,1770808559890,1770808559890,2026-02-11 11:15:59.890000+00:00
3.05469447163839,1770810301537,1770810301537,2026-02-11 11:45:01.537000+00:00
3.042305021666265,1770812043103,1770812043103,2026-02-11 12:14:03.103000+00:00
2.984284084153975,1770813873663,1770813873663,2026-02-11 12:44:33.663000+00:00
2.987202217304041,1770815615236,1770815615236,2026-02-11 13:13:35.236000+00:00
2.934784530964435,1770817446328,1770817446328,2026-02-11 13:44:06.328000+00:00
2.910122147476994,1770819187869,1770819187869,2026-02-11 14:13:07.869000+00:00
2.902311838509538,1770820929330,1770820929330,2026-02-11 14:42:09.330000+00:00
2.899103054381675,1770822760115,1770822760115,2026-02-11 15:12:40.115000+00:00
2.868550316150436,1770824501570,1770824501570,2026-02-11 15:41:41.570000+00:00
2.860193773210761,1770826332043,1770826332043,2026-02-11 16:12:12.043000+00:00
2.8603636229884772,1770828073235,1770828073235,2026-02-11 16:41:13.235000+00:00
2.823172273316872,1770829814564,1770829814564,2026-02-11 17:10:14.564000+00:00
2.824608610104557,1770831645374,1770831645374,2026-02-11 17:40:45.374000+00:00
2.8065011404732543,1770833386763,1770833386763,2026-02-11 18:09:46.763000+00:00
2.80402956954513,1770835542320,1770835542320,2026-02-11 18:45:42.320000+00:00
2.801425060952225,1770837283638,1770837283638,2026-02-11 19:14:43.638000+00:00
2.792906315801491,1770839025089,1770839025089,2026-02-11 19:43:45.089000+00:00
2.774700593712515,1770840855610,1770840855610,2026-02-11 20:14:15.610000+00:00
2.780343410525851,1770842597060,1770842597060,2026-02-11 20:43:17.060000+00:00
2.781362785745964,1770844427546,1770844427546,2026-02-11 21:13:47.546000+00:00
2.75045272045417,1770846168874,1770846168874,2026-02-11 21:42:48.874000+00:00
2.763051190839582,1770847910217,1770847910217,2026-02-11 22:11:50.217000+00:00
2.767642003550359,1770849741174,1770849741174,2026-02-11 22:42:21.174000+00:00
2.748984342173604,1770851482550,1770851482550,2026-02-11 23:11:22.550000+00:00
2.7518031675653027,1770853313489,1770853313489,2026-02-11 23:41:53.489000+00:00
2.723732580141327,1770855054896,1770855054896,2026-02-12 00:10:54.896000+00:00
2.710741936978339,1770856796517,1770856796517,2026-02-12 00:39:56.517000+00:00
2.69798539323758,1770858627148,1770858627148,2026-02-12 01:10:27.148000+00:00
2.693844402238684,1770860368767,1770860368767,2026-02-12 01:39:28.767000+00:00
2.664898911434519,1770862199533,1770862199533,2026-02-12 02:09:59.533000+00:00
2.663994889557741,1770863940951,1770863940951,2026-02-12 02:39:00.951000+00:00
2.641823851808062,1770865682435,1770865682435,2026-02-12 03:08:02.435000+00:00
2.645954272412539,1770867513056,1770867513056,2026-02-12 03:38:33.056000+00:00
2.643656591620609,1770869254642,1770869254642,2026-02-12 04:07:34.642000+00:00
2.644392856178109,1770871414101,1770871414101,2026-02-12 04:43:34.101000+00:00
2.640326353099576,1770873155379,1770873155379,2026-02-12 05:12:35.379000+00:00
2.617044204403463,1770874896999,1770874896999,2026-02-12 05:41:36.999000+00:00
2.627730359944063,1770876727742,1770876727742,2026-02-12 06:12:07.742000+00:00
2.628738975816143,1770878469376,1770878469376,2026-02-12 06:41:09.376000+00:00
2.579872146667733,1770880300046,1770880300046,2026-02-12 07:11:40.046000+00:00
2.594438836270589,1770882041385,1770882041385,2026-02-12 07:40:41.385000+00:00
2.597423731188639,1770883782956,1770883782956,2026-02-12 08:09:42.956000+00:00
2.588347233980115,1770885613574,1770885613574,2026-02-12 08:40:13.574000+00:00
2.593674349261981,1770887355213,1770887355213,2026-02-12 09:09:15.213000+00:00
2.57380924946494,1770889204009,1770889204009,2026-02-12 09:40:04.009000+00:00
2.560012317962965,1770890945200,1770890945200,2026-02-12 10:09:05.200000+00:00
2.531652557051157,1770892686629,1770892686629,2026-02-12 10:38:06.629000+00:00
2.566351796584017,1770894517315,1770894517315,2026-02-12 11:08:37.315000+00:00
2.53717289745185,1770896259076,1770896259076,2026-02-12 11:37:39.076000+00:00
