train/mfu,train/mfu_timestamp,timestamp_ms,time_utc
6.394515184265289,1771347794518,1771347794518,2026-02-17 17:03:14.518000+00:00
6.4032253563916814,1771347881621,1771347881621,2026-02-17 17:04:41.621000+00:00
6.405178029885506,1771347969108,1771347969108,2026-02-17 17:06:09.108000+00:00
6.406705787645149,1771348055694,1771348055694,2026-02-17 17:07:35.694000+00:00
6.404719332450933,1771348142849,1771348142849,2026-02-17 17:09:02.849000+00:00
6.134332715079259,1771348229749,1771348229749,2026-02-17 17:10:29.749000+00:00
6.405090771635965,1771348360630,1771348360630,2026-02-17 17:12:40.630000+00:00
6.405227312417082,1771348447985,1771348447985,2026-02-17 17:14:07.985000+00:00
6.408511166332242,1771348534494,1771348534494,2026-02-17 17:15:34.494000+00:00
6.397324077649754,1771348621996,1771348621996,2026-02-17 17:17:01.996000+00:00
6.403537301610318,1771348708945,1771348708945,2026-02-17 17:18:28.945000+00:00
6.399664768196932,1771348795962,1771348795962,2026-02-17 17:19:55.962000+00:00
6.405865050845939,1771348883060,1771348883060,2026-02-17 17:21:23.060000+00:00
6.137626808677158,1771348969952,1771348969952,2026-02-17 17:22:49.952000+00:00
6.396784053012446,1771349056947,1771349056947,2026-02-17 17:24:16.947000+00:00
