total_training_flops,total_training_flops_timestamp,timestamp_ms,time_utc
1.3143909957894144e+18,1771346924331,1771346924331,2026-02-17 16:48:44.331000+00:00
1.3341068607262556e+18,1771347011377,1771347011377,2026-02-17 16:50:11.377000+00:00
1.356013377322746e+18,1771347098631,1771347098631,2026-02-17 16:51:38.631000+00:00
1.377919893919236e+18,1771347185287,1771347185287,2026-02-17 16:53:05.287000+00:00
1.3998264105157263e+18,1771347272396,1771347272396,2026-02-17 16:54:32.396000+00:00
1.4217329271122166e+18,1771347358959,1771347358959,2026-02-17 16:55:58.959000+00:00
1.4436394437087068e+18,1771347446672,1771347446672,2026-02-17 16:57:26.672000+00:00
1.465545960305197e+18,1771347533543,1771347533543,2026-02-17 16:58:53.543000+00:00
1.4874524769016873e+18,1771347620447,1771347620447,2026-02-17 17:00:20.447000+00:00
1.5093589934981775e+18,1771347707948,1771347707948,2026-02-17 17:01:47.948000+00:00
1.5312655100946678e+18,1771347794516,1771347794516,2026-02-17 17:03:14.516000+00:00
1.553172026691158e+18,1771347881620,1771347881620,2026-02-17 17:04:41.620000+00:00
1.5750785432876485e+18,1771347969106,1771347969106,2026-02-17 17:06:09.106000+00:00
1.5969850598841385e+18,1771348055692,1771348055692,2026-02-17 17:07:35.692000+00:00
1.6188915764806287e+18,1771348142847,1771348142847,2026-02-17 17:09:02.847000+00:00
1.640798093077119e+18,1771348229748,1771348229748,2026-02-17 17:10:29.748000+00:00
1.642988744736768e+18,1771348273392,1771348273392,2026-02-17 17:11:13.392000+00:00
1.6627046096736092e+18,1771348360629,1771348360629,2026-02-17 17:12:40.629000+00:00
1.6846111262700997e+18,1771348447983,1771348447983,2026-02-17 17:14:07.983000+00:00
1.7065176428665897e+18,1771348534492,1771348534492,2026-02-17 17:15:34.492000+00:00
1.72842415946308e+18,1771348621995,1771348621995,2026-02-17 17:17:01.995000+00:00
1.7503306760595702e+18,1771348708943,1771348708943,2026-02-17 17:18:28.943000+00:00
1.7722371926560604e+18,1771348795960,1771348795960,2026-02-17 17:19:55.960000+00:00
1.794143709252551e+18,1771348883058,1771348883058,2026-02-17 17:21:23.058000+00:00
1.816050225849041e+18,1771348969951,1771348969951,2026-02-17 17:22:49.951000+00:00
1.8379567424455311e+18,1771349056945,1771349056945,2026-02-17 17:24:16.945000+00:00
1.8576726073823724e+18,1771349169758,1771349169758,2026-02-17 17:26:09.758000+00:00
