total_training_time,total_training_time_timestamp,timestamp_ms,time_utc
5560.805335283279,1771347358959,1771347358959,2026-02-17 16:55:58.959000+00:00
5648.483789920807,1771347446672,1771347446672,2026-02-17 16:57:26.672000+00:00
5735.320311784744,1771347533543,1771347533543,2026-02-17 16:58:53.543000+00:00
5822.191174268723,1771347620447,1771347620447,2026-02-17 17:00:20.447000+00:00
5909.660973548889,1771347707949,1771347707949,2026-02-17 17:01:47.949000+00:00
5996.193596839905,1771347794517,1771347794517,2026-02-17 17:03:14.517000+00:00
6083.262718677521,1771347881620,1771347881620,2026-02-17 17:04:41.620000+00:00
6170.715258598328,1771347969107,1771347969107,2026-02-17 17:06:09.107000+00:00
6257.267311811447,1771348055692,1771348055692,2026-02-17 17:07:35.692000+00:00
6344.385566234589,1771348142847,1771348142847,2026-02-17 17:09:02.847000+00:00
6431.255396366119,1771348229748,1771348229748,2026-02-17 17:10:29.748000+00:00
6431.255396366119,1771348273393,1771348273393,2026-02-17 17:11:13.393000+00:00
6518.457218408585,1771348360629,1771348360629,2026-02-17 17:12:40.629000+00:00
6605.780244827271,1771348447984,1771348447984,2026-02-17 17:14:07.984000+00:00
6692.256273269653,1771348534493,1771348534493,2026-02-17 17:15:34.493000+00:00
6779.724556922913,1771348621995,1771348621995,2026-02-17 17:17:01.995000+00:00
6866.638451814651,1771348708944,1771348708944,2026-02-17 17:18:28.944000+00:00
6953.620945692062,1771348795961,1771348795961,2026-02-17 17:19:55.961000+00:00
7040.683928966522,1771348883059,1771348883059,2026-02-17 17:21:23.059000+00:00
7127.54249382019,1771348969951,1771348969951,2026-02-17 17:22:49.951000+00:00
7214.500861406326,1771349056946,1771349056946,2026-02-17 17:24:16.946000+00:00
7283.687244176865,1771349169759,1771349169759,2026-02-17 17:26:09.759000+00:00
