step,step_timestamp,timestamp_ms,time_utc
46,1771784158581,1771784158581,2026-02-22 18:15:58.581000+00:00
46,1771784158754,1771784158754,2026-02-22 18:15:58.754000+00:00
47,1771784295879,1771784295879,2026-02-22 18:18:15.879000+00:00
47,1771784296050,1771784296050,2026-02-22 18:18:16.050000+00:00
48,1771784430365,1771784430365,2026-02-22 18:20:30.365000+00:00
48,1771784430537,1771784430537,2026-02-22 18:20:30.537000+00:00
49,1771784566209,1771784566209,2026-02-22 18:22:46.209000+00:00
49,1771784566378,1771784566378,2026-02-22 18:22:46.378000+00:00
50,1771784701597,1771784701597,2026-02-22 18:25:01.597000+00:00
50,1771784701766,1771784701766,2026-02-22 18:25:01.766000+00:00
51,1771784835900,1771784835900,2026-02-22 18:27:15.900000+00:00
51,1771784836069,1771784836069,2026-02-22 18:27:16.069000+00:00
52,1771784969587,1771784969587,2026-02-22 18:29:29.587000+00:00
52,1771784969756,1771784969756,2026-02-22 18:29:29.756000+00:00
53,1771785106048,1771785106048,2026-02-22 18:31:46.048000+00:00
53,1771785106219,1771785106219,2026-02-22 18:31:46.219000+00:00
54,1771785238353,1771785238353,2026-02-22 18:33:58.353000+00:00
54,1771785238524,1771785238524,2026-02-22 18:33:58.524000+00:00
55,1771785371981,1771785371981,2026-02-22 18:36:11.981000+00:00
55,1771785372157,1771785372157,2026-02-22 18:36:12.157000+00:00
56,1771785504586,1771785504586,2026-02-22 18:38:24.586000+00:00
56,1771785504762,1771785504762,2026-02-22 18:38:24.762000+00:00
57,1771785639892,1771785639892,2026-02-22 18:40:39.892000+00:00
57,1771785640063,1771785640063,2026-02-22 18:40:40.063000+00:00
58,1771785777613,1771785777613,2026-02-22 18:42:57.613000+00:00
58,1771785777782,1771785777782,2026-02-22 18:42:57.782000+00:00
59,1771785913505,1771785913505,2026-02-22 18:45:13.505000+00:00
59,1771785913675,1771785913675,2026-02-22 18:45:13.675000+00:00
60,1771786048636,1771786048636,2026-02-22 18:47:28.636000+00:00
